Index,Headline,Link,Snippet
1,India-Pakistan conflict: How real is the risk of nuclear war?,https://www.bbc.co.uk/news/articles/c2e373yzndro,India-Pakistan conflict: How real is the risk of nuclear war?
2,"India-Pakistan tensions: 'Whether there is war or ceasefire, our children will not come back'",https://www.bbc.co.uk/news/articles/clyg2rv81pvo,"India-Pakistan tensions: 'Whether there is war or ceasefire, our children will not come back'"
3,India and Pakistan: The first drone war between nuclear-armed neighbours,https://www.bbc.co.uk/news/articles/cwy6w6507wqo,India and Pakistan: The first drone war between nuclear-armed neighbours
4,The World Tonight. Can Pakistan and India avoid war? Listen NowThe World TonightCan Pakistan and India avoid war?,https://www.bbc.co.uk/sounds/play/m002btyv,The World Tonight. Can Pakistan and India avoid war? Listen NowThe World Tonight
5,The Briefing Room. Are India and Pakistan on the brink of war over Kashmir? Listen NowThe Briefing RoomAre India and Pakistan on the brink of war over Kashmir?,https://www.bbc.co.uk/sounds/play/m002bj77,The Briefing Room. Are India and Pakistan on the brink of war over Kashmir? Listen NowThe Briefing Room
6,Global News Podcast. Pakistan warns of imminent military strikes from India. Listen NowGlobal News PodcastPakistan warns of imminent military strikes from India,https://www.bbc.co.uk/sounds/play/p0l7d3n4,Global News Podcast. Pakistan warns of imminent military strikes from India. Listen NowGlobal News Podcast
7,Pakistan moves closer to Bangladesh as India watches warily,https://www.bbc.co.uk/news/articles/cge1gxxn07qo,Pakistan moves closer to Bangladesh as India watches warily
8,Dan Snow’s History Hit. Why do India and Pakistan fight over Kashmir? Listen NowDan Snow’s History HitWhy do India and Pakistan fight over Kashmir?,https://www.bbc.co.uk/sounds/play/p0lfgqxm,Dan Snow’s History Hit. Why do India and Pakistan fight over Kashmir? Listen NowDan Snow’s History Hit
9,School bus attack caught in tensions between Pakistan and India,https://www.bbc.co.uk/news/articles/cx27nx0j1kjo,School bus attack caught in tensions between Pakistan and India
10,Papers fear Pakistan-India war,http://news.bbc.co.uk/1/hi/uk/2003666.stm,Papers fear Pakistan-India war
