Index,Headline,Link
1,Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
2,War in Ukraine,https://www.bbc.com/news/war-in-ukraine
3,US & Canada,https://www.bbc.com/news/us-canada
4,UK,https://www.bbc.com/news/uk
5,Africa,https://www.bbc.com/news/world/africa
6,Asia,https://www.bbc.com/news/world/asia
7,Australia,https://www.bbc.com/news/world/australia
8,Europe,https://www.bbc.com/news/world/europe
9,Latin America,https://www.bbc.com/news/world/latin_america
10,Middle East,https://www.bbc.com/news/world/middle_east
11,In Pictures,https://www.bbc.com/news/in_pictures
12,BBC InDepth,https://www.bbc.com/news/bbcindepth
13,BBC Verify,https://www.bbc.com/news/bbcverify
14,Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
15,War in Ukraine,https://www.bbc.com/news/war-in-ukraine
16,US & Canada,https://www.bbc.com/news/us-canada
17,UK,https://www.bbc.com/news/uk
18,UK Politics,https://www.bbc.com/news/politics
19,England,https://www.bbc.com/news/england
20,N. Ireland,https://www.bbc.com/news/northern_ireland
21,N. Ireland Politics,https://www.bbc.com/news/northern_ireland/northern_ireland_politics
22,Scotland,https://www.bbc.com/news/scotland
23,Scotland Politics,https://www.bbc.com/news/scotland/scotland_politics
24,Wales,https://www.bbc.com/news/wales
25,Wales Politics,https://www.bbc.com/news/wales/wales_politics
26,Africa,https://www.bbc.com/news/world/africa
27,Asia,https://www.bbc.com/news/world/asia
28,China,https://www.bbc.com/news/world/asia/china
29,India,https://www.bbc.com/news/world/asia/india
30,Australia,https://www.bbc.com/news/world/australia
31,Europe,https://www.bbc.com/news/world/europe
32,Latin America,https://www.bbc.com/news/world/latin_america
33,Middle East,https://www.bbc.com/news/world/middle_east
34,In Pictures,https://www.bbc.com/news/in_pictures
35,BBC InDepth,https://www.bbc.com/news/bbcindepth
36,BBC Verify,https://www.bbc.com/news/bbcverify
37,"LIVEIran says US attacks will get 'response', as Trump claims 'we took bomb out of their hands'The US hit three nuclear sites in Iran overnight - but it remains unclear whether the strikes did destroy all of Iran's nuclear capabilities.",https://www.bbc.com/news/live/ckg3rzj8emjt
38,Watch: How successful have the US strikes on Iran been?BBC security analyst Gordon Corera examines how much damage is likely to have been caused to Iran's nuclear sites.45 mins agoWorld,https://www.bbc.com/news/videos/cq53l9dvggjo
39,'Paralysed and constantly caught by surprise': Voices from IranPeople inside Iran tell BBC Persian about their fear and anger after the US bombed key nuclear sites overnight.5 hrs agoWorld,https://www.bbc.com/news/articles/cpwq2vnd827o
40,"Retaliate now, later or never: What Iran's next move could beSwarm attacks, cyber strikes or nothing at all for now. Will Iran retaliate against ‘the Great Satan’ - and if so, how?6 hrs agoWorld",https://www.bbc.com/news/articles/c80pvg5nmrdo
41,What we know about US attacks on three nuclear sitesThe sites targeted include a uranium enrichment facility at Fordo. 54 mins agoWorld,https://www.bbc.com/news/articles/cvg9r4q99g4o
42,"Israel recovers bodies of three hostages from GazaThe bodies of Yonatan Samrano, Sgt Shai Levinson and Ofra Kedar were recovered on Saturday.12 hrs agoMiddle East",https://www.bbc.com/news/articles/cj61zy2ygwzo
43,"Suicide bombing at Damascus church kills 20, Syrian authorities sayThe interior ministry said a man affiliated with IS entered a church and opened fire before blowing himself up.3 hrs agoMiddle East",https://www.bbc.com/news/articles/c307n9p43z9o
44,"Celebs say this gossip forum ruined their lives. Now its owner has been unmaskedCelebrities tell BBC about ""horrendous"" abuse on Tattle Life, a site run anonymously - until now.22 hrs agoCulture",https://www.bbc.com/news/articles/c5y7j512ln7o
45,Seven charged with assault after protest outside Iran embassy in LondonSeven people are charged with grievous bodily harm following disorder outside the Iranian embassy. 14 hrs agoLondon,https://www.bbc.com/news/articles/c994x4yxer5o
46,"Suicide bombing at Damascus church kills 20, Syrian authorities sayThe interior ministry said a man affiliated with IS entered a church and opened fire before blowing himself up.3 hrs agoMiddle East",https://www.bbc.com/news/articles/c307n9p43z9o
47,"Ukraine still holds ground inside Russia's Kursk, commander saysCommander-in-chief Oleksandr Syrsky disputed Russian claims that Ukraine had been pushed out of Kursk.13 hrs agoEurope",https://www.bbc.com/news/articles/cvgepevvn47o
48,"Belarus opposition leader's husband urges Trump to help other prisoners After his unexpected release, Sergei Tikhanovsky broke down describing his five years in solitary confinement 4 hrs agoEurope",https://www.bbc.com/news/articles/c07dgmymd1eo
49,Six dead and two missing after boat flips in Lake Tahoe Two survivors were also pulled from the rough waters and are being treated in hospital for hypothermia and other injuries.1 hr agoUS & Canada,https://www.bbc.com/news/articles/cjwnl838pv3o
50,"Celebs say this gossip forum ruined their lives. Now its owner has been unmaskedCelebrities tell BBC about ""horrendous"" abuse on Tattle Life, a site run anonymously - until now.22 hrs agoCulture",https://www.bbc.com/news/articles/c5y7j512ln7o
51,"Trump takes huge gamble putting US at heart of Iran-Israel conflictAs well as retaliation against US troops, a president who styled himself as ""peacemaker"" could face party dissent.18 hrs agoMiddle East",https://www.bbc.com/news/articles/cvg86pd63j8o
52,"What satellite images reveal about Iranian sites targeted by USIt took months of planning and included over 125 planes, a submarine and 14 ""bunker buster"" bombs. BBC Verify explains how the US mission ""Operation Midnight Hammer"" took place.3 hrs agoMiddle East",https://www.bbc.com/news/videos/cdezkx5nl1wo
53,What are the risks of bombing Iran's nuclear sites?Destroying Iran's stores of enriched uranium would bring danger for people nearby but not trigger another Chernobyl.12 hrs agoScience & Environment,https://www.bbc.com/news/articles/c5ykjvl1y9jo
54,Watch: The key questions answeredThe BBC's world news correspondent Joe Inwood answers three key questions after the US strikes in Iran.7 hrs agoMiddle East,https://www.bbc.com/news/videos/c5ypw09gdzpo
55,"When Dubai almost became a part of India It's now largely forgotten that in the early 1900s, nearly a third of the Arabian Peninsula was under British India.24 hrs agoAsia",https://www.bbc.com/news/articles/cgq3wlp22j9o
56,"Giant Michael Jackson statues popped up 30 years ago. Where have they gone?The King Of Pop had 10 statues made in his image in 1995, but where can they be seen three decade later?22 hrs agoCulture",https://www.bbc.com/news/articles/cn0q2krypkro
57,"From gold heist to murder - the unsolved case of John 'Goldfinger' PalmerTen years on, the killing of the notorious Brink's-Mat suspect at his home in Essex remains unsolved.16 hrs agoEssex",https://www.bbc.com/news/articles/cdx5rvkeg94o
58,Stop telling me to lower my cortisol - it's making me stressed!Can social media hacks really help bring down your cortisol levels?22 hrs agoTechnology,https://www.bbc.com/news/articles/cg5z6l19rv6o
59,"For 50 years, Sydney Opera House has had one man on speed dialTerry Harper has been tuning pianos in the iconic venue since he was a teen - a family legacy started by his dad.1 day agoAustralia",https://www.bbc.com/news/articles/ckg6zzxq3v2o
60,"Giant Michael Jackson statues popped up 30 years ago. Where have they gone?The King Of Pop had 10 statues made in his image in 1995, but where can they be seen three decade later?22 hrs agoCulture",https://www.bbc.com/news/articles/cn0q2krypkro
61,"How a self-styled knight giving away cars and wads of cash got people talkingSome are beguiled by the Zimbabwean tycoon's generosity, others alarmed about the source of his wealth.20 hrs agoAfrica",https://www.bbc.com/news/articles/cn81ynyjy8no
62,Pop-punk band ride wave of Y2K core as interest grows in 90s and early 2000s cultureHow a pop-punk band is riding a wave of Y2K nostalgia to bring back the sounds of the noughties.22 hrs ago,https://www.bbc.com/news/articles/cwyq17x1pllo
63,"From gold heist to murder - the unsolved case of John 'Goldfinger' PalmerTen years on, the killing of the notorious Brink's-Mat suspect at his home in Essex remains unsolved.16 hrs agoEssex",https://www.bbc.com/news/articles/cdx5rvkeg94o
64,1Satellite images and decoy planes: Behind the US attacks on Iran,https://www.bbc.com/news/videos/cdezkx5nl1wo
65,2Watch: How successful have the US strikes on Iran been?,https://www.bbc.com/news/videos/cq53l9dvggjo
66,3Watch: The US has joined the Iran-Israel war. What happens now?,https://www.bbc.com/news/videos/c5ypw09gdzpo
67,4Watch: BBC reports from site of Iranian missile attack in Tel Aviv,https://www.bbc.com/news/videos/ckgln38nvjxo
68,5Watch: Trump says strikes on Iran a 'spectacular military success' in address,https://www.bbc.com/news/videos/c93k8nvdnqpo
69,FedEx founder and former boss Fred Smith dies aged 80The Vietnam War veteran started the firm in 1973 with 14 planes before it became a global brand.10 hrs agoBusiness,https://www.bbc.com/news/articles/cvgw6nllwlwo
70,"Freed Columbia activist vows to continue to support Palestinian rightsAfter his release from more than three months in immigration detention, Mahmoud Khalil shouts: ""Free Palestine!""1 day agoWorld",https://www.bbc.com/news/articles/c70r839kxd9o
71,"Pakistan to nominate Trump for Nobel Peace PrizeIslamabad says Trump helped end recent fighting with India, but New Delhi denies he played any role. 1 day agoWorld",https://www.bbc.com/news/articles/cwyx5yw8y28o
72,"Rosenberg: Russian government clearly nervous as country faces economic challengesRussian minister Maxim Reshetnikov has warned that the country's economy was teetering ""on the brink of recession"".1 day agoEurope",https://www.bbc.com/news/articles/cdr30jx6x0vo
73,South African engineers freed after two years in Equatorial Guinea jailTheir families say they were arrested because assets belonging to Equatorial Guinea's vice-president were seized.5 hrs agoAfrica,https://www.bbc.com/news/articles/c1k8e02ep0po
74,"Three fans die in Algeria football stadium fallMany others were injured when a barrier collapsed as MC Alger fans celebrated winning the league, reports say.10 hrs agoAfrica",https://www.bbc.com/news/articles/c3en3nzlxxxo
75,"Freed Columbia activist vows to continue to support Palestinian rightsAfter his release from more than three months in immigration detention, Mahmoud Khalil shouts: ""Free Palestine!""1 day agoWorld",https://www.bbc.com/news/articles/c70r839kxd9o
76,1What we know about US strikes on three Iranian nuclear sites,https://www.bbc.com/news/articles/cvg9r4q99g4o
77,2Celebs say this gossip forum ruined their lives. Now its owner has been unmasked,https://www.bbc.com/news/articles/c5y7j512ln7o
78,3'Paralysed and constantly caught by surprise': Voices from Iran after US strikes,https://www.bbc.com/news/articles/cpwq2vnd827o
79,"4Retaliate now, later or never: What Iran's next move could be",https://www.bbc.com/news/articles/c80pvg5nmrdo
80,"5Suicide bombing at Damascus church kills 20, Syrian authorities say",https://www.bbc.com/news/articles/c307n9p43z9o
81,6Israel recovers bodies of three hostages from Gaza,https://www.bbc.com/news/articles/cj61zy2ygwzo
82,7Six dead and two missing after boat flips in Lake Tahoe,https://www.bbc.com/news/articles/cjwnl838pv3o
83,8Giant Michael Jackson statues popped up 30 years ago. Where have they gone?,https://www.bbc.com/news/articles/cn0q2krypkro
84,9When Dubai almost became a part of India,https://www.bbc.com/news/articles/cgq3wlp22j9o
85,10Starmer and Trump discuss need for Iran to return to negotiations,https://www.bbc.com/news/articles/cq53l41gl8jo
